Year,Round,HigherSeed,Score,HigherTeam,LowerTeam,Score,LowerSeed,Winner
2008,1,1,70,UCLA,Mississippi Valley St,29,16,UCLA
2008,1,2,71,Duke,Belmont,70,15,Duke
2008,1,3,73,Xavier,Georgia,61,14,Xavier
2008,1,4,69,Connecticut,San Diego,70,13,San Diego
2008,1,5,99,Drake,Western Kentucky,101,12,Western Kentucky
2008,1,6,90,Purdue,Baylor,79,11,Purdue
2008,1,7,75,West Virginia,Arizona,65,10,West Virginia
2008,1,8,62,BYU,Texas A&M,67,9,Texas A&M
2008,2,1,108,North Carolina,Arkansas,77,9,North Carolina
2008,2,2,76,Tennessee,Butler,71,7,Tennessee
2008,2,3,78,Louisville,Oklahoma,48,6,Louisville
2008,2,4,61,Washington St,Notre Dame,41,5,Washington St
2008,2,1,75,Kansas,UNLV,56,8,Kansas
2008,2,2,70,Georgetown,Davidson,74,10,Davidson
2008,2,3,72,Wisconsin,Kansas St,55,11,Wisconsin
2008,2,13,72,Siena,Villanova,84,12,Villanova
2008,2,1,77,Memphis,Mississippi St,74,8,Memphis
2008,2,2,75,Texas,Miami,72,7,Texas
2008,2,3,82,Stanford,Marquette,81,6,Stanford
2008,2,4,54,Pittsburgh,Michigan St,65,5,Michigan St
2008,2,1,51,UCLA,Texas A&M,49,9,UCLA
2008,2,2,67,Duke,West Virginia,73,7,West Virginia
2008,2,3,85,Xavier,Purdue,78,6,Xavier
2008,2,13,63,San Diego,Western Kentucky,72,12,Western Kentucky
2008,3,1,68,North Carolina,Washington St,47,4,North Carolina
2008,3,2,60,Tennessee,Louisville,79,3,Louisville
2008,3,1,72,Kansas,Villanova,57,12,Kansas
2008,3,10,73,Davidson,Wisconsin,56,3,Davidson
2008,3,1,92,Memphis,Michigan St,74,5,Memphis
2008,3,2,82,Texas,Stanford,62,3,Texas
2008,3,1,88,UCLA,Western Kentucky,78,12,UCLA
2008,3,7,75,West Virginia,Xavier,79,3,Xavier
2008,4,1,83,North Carolina,Louisville,73,3,North Carolina
2008,4,1,59,Kansas,Davidson,57,10,Kansas
2008,4,1,85,Memphis,Texas,67,2,Memphis
2008,4,1,76,UCLA,Xavier,57,3,UCLA
2008,5,1,66,North Carolina,Kansas,84,1,Kansas
2008,5,1,78,Memphis,UCLA,63,1,Memphis
2008,6,1,75,Kansas,Memphis,68,1,Kansas
2009,1,1,74,Louisville,Morehead St,54,16,Louisville
2009,1,2,77,Michigan St,Robert Morris,62,15,Michigan St
2009,1,3,84,Kansas,North Dakota St,74,14,Kansas
2009,1,4,69,Wake Forest,Cleveland St,84,13,Cleveland St
2009,1,5,71,Utah,Arizona,84,12,Arizona
2009,1,6,60,West Virginia,Dayton,68,11,Dayton
2009,1,7,55,Boston College,USC,72,10,USC
2009,1,8,72,Ohio St,Siena,74,9,Siena
2009,1,1,103,Connecticut,Chattanooga,47,16,Connecticut
2009,1,2,81,Memphis,Cal St Northridge,70,15,Memphis
2009,1,3,78,Missouri,Cornell,59,14,Missouri
2009,1,4,71,Washington,Mississippi St,58,13,Washington
2009,1,5,61,Purdue,Northern Iowa,56,12,Purdue
2009,1,6,58,Marquette,Utah St,57,11,Marquette
